Arabic Root Word,ChapterNo,VerseNo,Actual Arabic Word
ا و ل ا,2,5,وَأُولَئِكَ
ه م,2,5,هُمُ
ف ل ح,2,5,الْمُفْلِحُونَ
ا ن ن,2,6,إِنَّ
ا ل ل ذ,2,6,الَّذِينَ
ك ف ر,2,6,كَفَرُوا
س و ي,2,6,سَوَاءٌ
ع ل ي,2,6,عَلَيْهِمْ
ن ذ ر,2,6,ءَأَنْذَرْتَهُمْ
ا م,2,6,أَمْ
ل م,2,6,لَمْ
ن ذ ر,2,6,تُنْذِرْهُمْ
ل ا,2,6,لَا
ا م ن,2,6,يُؤْمِنُونَ
خ ت م,2,7,خَتَمَ
ا ل ه,2,7,اللَّهُ
ع ل ي,2,7,عَلَى
ق ل ب,2,7,قُلُوبِهِمْ
ع ل ي,2,7,وَعَلَى
س م ع,2,7,سَمْعِهِمْ
ع ل ي,2,7,وَعَلَى
ب ص ر,2,7,أَبْصَارِهِمْ
غ ش ي,2,7,غِشَاوَةٌ
ل,2,7,وَلَهُمْ
ع ذ ب,2,7,عَذَابٌ
ع ظ م,2,7,عَظِيمٌ
م ن,2,8,وَمِنَ
ن و س,2,8,النَّاسِ
م ن,2,8,مَنْ
ق و ل,2,8,يَقُولُ
ا م ن,2,8,ءَامَنَّا
ا ل ه,2,8,بِاللَّهِ
ي و م,2,8,وَبِالْيَوْمِ
ا خ ر,2,8,الْءَاخِرِ
م ا,2,8,وَمَا
ه م,2,8,هُمْ
ا م ن,2,8,بِمُؤْمِنِينَ
خ د ع,2,9,يُخَادِعُونَ
ا ل ه,2,9,اللَّهَ
ا ل ل ذ,2,9,وَالَّذِينَ
ا م ن,2,9,ءَامَنُوا
م ا,2,9,وَمَا
خ د ع,2,9,يَخْدَعُونَ
ا ل ل ا,2,9,إِلَّا
ن ف س,2,9,أَنْفُسَهُمْ
م ا,2,9,وَمَا
ش ع ر,2,9,يَشْعُرُونَ
ف ي,2,10,فِي
ق ل ب,2,10,قُلُوبِهِمْ
م ر ض,2,10,مَرَضٌ
ز ي د,2,10,فَزَادَهُمُ
ا ل ه,2,10,اللَّهُ
م ر ض,2,10,مَرَضًا
ل,2,10,وَلَهُمْ
ع ذ ب,2,10,عَذَابٌ
ا ل م,2,10,أَلِيمٌ
ب م ا,2,10,بِمَا
ك و ن,2,10,كَانُوا
ك ذ ب,2,10,يَكْذِبُونَ
ا ذ ا,2,11,وَإِذَا
ق و ل,2,11,قِيلَ
ل,2,11,لَهُمْ
ل ا,2,11,لَا
ف س د,2,11,تُفْسِدُوا
ف ي,2,11,فِي
ا ر ض,2,11,الْأَرْضِ
ق و ل,2,11,قَالُوا
ا ن ن م,2,11,إِنَّمَا
ن ح ن,2,11,نَحْنُ
ص ل ح,2,11,مُصْلِحُونَ
ل ا,2,12,أَلَا
ا ن ن,2,12,إِنَّهُمْ
ه م,2,12,هُمُ
ف س د,2,12,الْمُفْسِدُونَ
ل ك ن,2,12,وَلَكِنْ
ل ا,2,12,لَا
ش ع ر,2,12,يَشْعُرُونَ
ا ذ ا,2,13,وَإِذَا
ق و ل,2,13,قِيلَ
ل,2,13,لَهُمْ
ا م ن,2,13,ءَامِنُوا
ك م ا,2,13,كَمَا
ا م ن,2,13,ءَامَنَ
ن و س,2,13,النَّاسُ
ق و ل,2,13,قَالُوا
ا م ن,2,13,أَنُؤْمِنُ
ك م ا,2,13,كَمَا
ا م ن,2,13,ءَامَنَ
س ف ه,2,13,السُّفَهَاءُ
ل ا,2,13,أَلَا
ا ن ن,2,13,إِنَّهُمْ
ه م,2,13,هُمُ
س ف ه,2,13,السُّفَهَاءُ
ل ك ن,2,13,وَلَكِنْ
ل ا,2,13,لَا
ع ل م,2,13,يَعْلَمُونَ
ا ذ ا,2,14,وَإِذَا
ل ق ي,2,14,لَقُوا
ا ل ل ذ,2,14,الَّذِينَ
ا م ن,2,14,ءَامَنُوا
ق و ل,2,14,قَالُوا
ا م ن,2,14,ءَامَنَّا
ا ذ ا,2,14,وَإِذَا
خ ل و,2,14,خَلَوْا
ا ل ي,2,14,إِلَى
ش ط ن,2,14,شَيَاطِينِهِمْ
ق و ل,2,14,قَالُوا
ا ن ن,2,14,إِنَّا
م ع,2,14,مَعَكُمْ
ا ن ن م,2,14,إِنَّمَا
ن ح ن,2,14,نَحْنُ
ه ز ا,2,14,مُسْتَهْزِءُونَ
ا ل ه,2,15,اللَّهُ
ه ز ا,2,15,يَسْتَهْزِئُ
ب,2,15,بِهِمْ
م د د,2,15,وَيَمُدُّهُمْ
ف ي,2,15,فِي
ط غ و,2,15,طُغْيَانِهِمْ
ع م ه,2,15,يَعْمَهُونَ
ا و ل ا,2,16,أُولَئِكَ
ا ل ل ذ,2,16,الَّذِينَ
ش ر ي,2,16,اشْتَرَوُا
ض ل ل,2,16,الضَّلَالَةَ
ه د ي,2,16,بِالْهُدَى
م ا,2,16,فَمَا
ر ب ح,2,16,رَبِحَتْ
ت ج ر,2,16,تِجَارَتُهُمْ
م ا,2,16,وَمَا
ك و ن,2,16,كَانُوا
ه د ي,2,16,مُهْتَدِينَ
م ث ل,2,17,مَثَلُهُمْ
م ث ل,2,17,كَمَثَلِ
ا ل ل ذ,2,17,الَّذِي
و ق د,2,17,اسْتَوْقَدَ
ن و ر,2,17,نَارًا
ل م م ا,2,17,فَلَمَّا
ض و ا,2,17,أَضَاءَتْ
م ا,2,17,مَا
ح و ل,2,17,حَوْلَهُ
ذ ه ب,2,17,ذَهَبَ
ا ل ه,2,17,اللَّهُ
ن و ر,2,17,بِنُورِهِمْ
ت ر ك,2,17,وَتَرَكَهُمْ
ف ي,2,17,فِي
ظ ل م,2,17,ظُلُمَاتٍ
ل ا,2,17,لَا
ب ص ر,2,17,يُبْصِرُونَ
ص م م,2,18,صُمٌّ
ب ك م,2,18,بُكْمٌ
ع م ي,2,18,عُمْيٌ
ه م,2,18,فَهُمْ
ل ا,2,18,لَا
ر ج ع,2,18,يَرْجِعُونَ
ا و,2,19,أَوْ
ص و ب,2,19,كَصَيِّبٍ
م ن,2,19,مِنَ
س م و,2,19,السَّمَاءِ
ف ي,2,19,فِيهِ
ظ ل م,2,19,ظُلُمَاتٌ
ر ع د,2,19,وَرَعْدٌ
ب ر ق,2,19,وَبَرْقٌ
ج ع ل,2,19,يَجْعَلُونَ
ص ب ع,2,19,أَصَابِعَهُمْ
ف ي,2,19,فِي
ا ذ ن,2,19,ءَاذَانِهِمْ
م ن,2,19,مِنَ
ص ع ق,2,19,الصَّوَاعِقِ
ح ذ ر,2,19,حَذَرَ
م و ت,2,19,الْمَوْتِ
ا ل ه,2,19,وَاللَّهُ
ح و ط,2,19,مُحِيطٌ
ك ف ر,2,19,بِالْكَافِرِينَ
ك و د,2,20,يَكَادُ
ب ر ق,2,20,الْبَرْقُ
خ ط ف,2,20,يَخْطَفُ
ب ص ر,2,20,أَبْصَارَهُمْ
ك ل ل,2,20,كُلَّمَا
ض و ا,2,20,أَضَاءَ
ل,2,20,لَهُمْ
م ش ي,2,20,مَشَوْا
ف ي,2,20,فِيهِ
ا ذ ا,2,20,وَإِذَا
ظ ل م,2,20,أَظْلَمَ
ع ل ي,2,20,عَلَيْهِمْ
ق و م,2,20,قَامُوا
ل و,2,20,وَلَوْ
ش ي ا,2,20,شَاءَ
ا ل ه,2,20,اللَّهُ
ذ ه ب,2,20,لَذَهَبَ
س م ع,2,20,بِسَمْعِهِمْ
ب ص ر,2,20,وَأَبْصَارِهِمْ
ا ن ن,2,20,إِنَّ
ا ل ه,2,20,اللَّهَ
ع ل ي,2,20,عَلَى
ك ل ل,2,20,كُلِّ
ش ي ا,2,20,شَيْءٍ
ق د ر,2,20,قَدِيرٌ
ا ي ي,2,21,يَاأَيُّهَا
ن و س,2,21,النَّاسُ
ع ب د,2,21,اعْبُدُوا
ر ب ب,2,21,رَبَّكُمُ
ا ل ل ذ,2,21,الَّذِي
خ ل ق,2,21,خَلَقَكُمْ
ا ل ل ذ,2,21,وَالَّذِينَ
م ن,2,21,مِنْ
ق ب ل,2,21,قَبْلِكُمْ
ل ع ل ل,2,21,لَعَلَّكُمْ
و ق ي,2,21,تَتَّقُونَ
ا ل ل ذ,2,22,الَّذِي
ج ع ل,2,22,جَعَلَ
ل,2,22,لَكُمُ
ا ر ض,2,22,الْأَرْضَ
ف ر ش,2,22,فِرَاشًا
س م و,2,22,وَالسَّمَاءَ
ب ن ا,2,22,بِنَاءً
ن ز ل,2,22,وَأَنْزَلَ
م ن,2,22,مِنَ
س م و,2,22,السَّمَاءِ
م و ه,2,22,مَاءً
خ ر ج,2,22,فَأَخْرَجَ
ب,2,22,بِهِ
م ن,2,22,مِنَ
ث م ر,2,22,الثَّمَرَاتِ
ر ز ق,2,22,رِزْقًا
ل,2,22,لَكُمْ
ل ا,2,22,فَلَا
ج ع ل,2,22,تَجْعَلُوا
ا ل ه,2,22,لِلَّهِ
ن د د,2,22,أَنْدَادًا
ا ن ت م,2,22,وَأَنْتُمْ
ع ل م,2,22,تَعْلَمُونَ
ا ن,2,23,وَإِنْ
ك و ن,2,23,كُنْتُمْ
ف ي,2,23,فِي
ر ي ب,2,23,رَيْبٍ
م م ا,2,23,مِمَّا
ن ز ل,2,23,نَزَّلْنَا
ع ل ي,2,23,عَلَى
ع ب د,2,23,عَبْدِنَا
ا ت ي,2,23,فَأْتُوا
س و ر,2,23,بِسُورَةٍ
م ن,2,23,مِنْ
م ث ل,2,23,مِثْلِهِ
د ع و,2,23,وَادْعُوا
ش ه د,2,23,شُهَدَاءَكُمْ
م ن,2,23,مِنْ
د و ن,2,23,دُونِ
ا ل ه,2,23,اللَّهِ
ا ن,2,23,إِنْ
ك و ن,2,23,كُنْتُمْ
ص د ق,2,23,صَادِقِينَ
ا ن,2,24,فَإِنْ
ل م,2,24,لَمْ
ف ع ل,2,24,تَفْعَلُوا
ل ن,2,24,وَلَنْ
ف ع ل,2,24,تَفْعَلُوا
و ق ي,2,24,فَاتَّقُوا
ن و ر,2,24,النَّارَ
ا ل ل ت,2,24,الَّتِي
و ق د,2,24,وَقُودُهَا
ن و س,2,24,النَّاسُ
ح ج ر,2,24,وَالْحِجَارَةُ
ع د د,2,24,أُعِدَّتْ
ك ف ر,2,24,لِلْكَافِرِينَ
ب ش ر,2,25,وَبَشِّرِ
ا ل ل ذ,2,25,الَّذِينَ
ا م ن,2,25,ءَامَنُوا
ع م ل,2,25,وَعَمِلُوا
ص ل ح,2,25,الصَّالِحَاتِ
ا ن ن,2,25,أَنَّ
ل,2,25,لَهُمْ
ج ن ن,2,25,جَنَّاتٍ
ج ر ي,2,25,تَجْرِي
م ن,2,25,مِنْ
ت ح ت,2,25,تَحْتِهَا
ن ه ر,2,25,الْأَنْهَارُ
ك ل ل,2,25,كُلَّمَا
ر ز ق,2,25,رُزِقُوا
م ن,2,25,مِنْهَا
م ن,2,25,مِنْ
ث م ر,2,25,ثَمَرَةٍ
ر ز ق,2,25,رِزْقًا
ق و ل,2,25,قَالُوا
ه ا ذ,2,25,هَذَا
ا ل ل ذ,2,25,الَّذِي
ر ز ق,2,25,رُزِقْنَا
م ن,2,25,مِنْ
ق ب ل,2,25,قَبْلُ
ا ت ي,2,25,وَأُتُوا
ب,2,25,بِهِ
ش ب ه,2,25,مُتَشَابِهًا
ل,2,25,وَلَهُمْ
ف ي,2,25,فِيهَا
ز و ج,2,25,أَزْوَاجٌ
ط ه ر,2,25,مُطَهَّرَةٌ
ه م,2,25,وَهُمْ
ف ي,2,25,فِيهَا
خ ل د,2,25,خَالِدُونَ
ا ن ن,2,26,إِنَّ
ا ل ه,2,26,اللَّهَ
ل ا,2,26,لَا
ح ي ي,2,26,يَسْتَحْيِي
ا ن,2,26,أَنْ
ض ر ب,2,26,يَضْرِبَ
م ث ل,2,26,مَثَلًا
م ا,2,26,مَا
ب ع ض,2,26,بَعُوضَةً
م ا,2,26,فَمَا
ف و ق,2,26,فَوْقَهَا
ا م م ا,2,26,فَأَمَّا
ا ل ل ذ,2,26,الَّذِينَ
ا م ن,2,26,ءَامَنُوا
ع ل م,2,26,فَيَعْلَمُونَ
ا ن ن,2,26,أَنَّهُ
ح ق ق,2,26,الْحَقُّ
م ن,2,26,مِنْ
ر ب ب,2,26,رَبِّهِمْ
ا م م ا,2,26,وَأَمَّا
ا ل ل ذ,2,26,الَّذِينَ
ك ف ر,2,26,كَفَرُوا
ق و ل,2,26,فَيَقُولُونَ
م ا ذ ا,2,26,مَاذَا
ر و د,2,26,أَرَادَ
ا ل ه,2,26,اللَّهُ
ه ا ذ,2,26,بِهَذَا
م ث ل,2,26,مَثَلًا
ض ل ل,2,26,يُضِلُّ
ب,2,26,بِهِ
ك ث ر,2,26,كَثِيرًا
ه د ي,2,26,وَيَهْدِي
ب,2,26,بِهِ
ك ث ر,2,26,كَثِيرًا
م ا,2,26,وَمَا
ض ل ل,2,26,يُضِلُّ
ب,2,26,بِهِ
ا ل ل ا,2,26,إِلَّا
ف س ق,2,26,الْفَاسِقِينَ
ا ل ل ذ,2,27,الَّذِينَ
ن ق ض,2,27,يَنْقُضُونَ
ع ه د,2,27,عَهْدَ
ا ل ه,2,27,اللَّهِ
م ن,2,27,مِنْ
ب ع د,2,27,بَعْدِ
و ث ق,2,27,مِيثَاقِهِ
ق ط ع,2,27,وَيَقْطَعُونَ
م ا,2,27,مَا
ا م ر,2,27,أَمَرَ
ا ل ه,2,27,اللَّهُ
ب,2,27,بِهِ
ا ن,2,27,أَنْ
و ص ل,2,27,يُوصَلَ
ف س د,2,27,وَيُفْسِدُونَ
ف ي,2,27,فِي
ا ر ض,2,27,الْأَرْضِ
ا و ل ا,2,27,أُولَئِكَ
ه م,2,27,هُمُ
خ س ر,2,27,الْخَاسِرُونَ
ك ي ف,2,28,كَيْفَ
ك ف ر,2,28,تَكْفُرُونَ
ا ل ه,2,28,بِاللَّهِ
ك و ن,2,28,وَكُنْتُمْ
م و ت,2,28,أَمْوَاتًا
ح ي ي,2,28,فَأَحْيَاكُمْ
ث م م,2,28,ثُمَّ
م و ت,2,28,يُمِيتُكُمْ
ث م م,2,28,ثُمَّ
ح ي ي,2,28,يُحْيِيكُمْ
ث م م,2,28,ثُمَّ
ا ل ي,2,28,إِلَيْهِ
ر ج ع,2,28,تُرْجَعُونَ
ه و,2,29,هُوَ
ا ل ل ذ,2,29,الَّذِي
خ ل ق,2,29,خَلَقَ
ل,2,29,لَكُمْ
م ا,2,29,مَا
ف ي,2,29,فِي
ا ر ض,2,29,الْأَرْضِ
ج م ع,2,29,جَمِيعًا
ث م م,2,29,ثُمَّ
س و ي,2,29,اسْتَوَى
ا ل ي,2,29,إِلَى
س م و,2,29,السَّمَاءِ
س و ي,2,29,فَسَوَّاهُنَّ
س ب ع,2,29,سَبْعَ
س م و,2,29,سَمَاوَاتٍ
ه و,2,29,وَهُوَ
ك ل ل,2,29,بِكُلِّ
ش ي ا,2,29,شَيْءٍ
ع ل م,2,29,عَلِيمٌ
ا ذ,2,30,وَإِذْ
ق و ل,2,30,قَالَ
ر ب ب,2,30,رَبُّكَ
م ل ك,2,30,لِلْمَلَائِكَةِ
ا ن ن,2,30,إِنِّي
ج ع ل,2,30,جَاعِلٌ
ف ي,2,30,فِي
ا ر ض,2,30,الْأَرْضِ
خ ل ف,2,30,خَلِيفَةً
ق و ل,2,30,قَالُوا
ج ع ل,2,30,أَتَجْعَلُ
ف ي,2,30,فِيهَا
م ن,2,30,مَنْ
ف س د,2,30,يُفْسِدُ
ف ي,2,30,فِيهَا
س ف ك,2,30,وَيَسْفِكُ
د م ي,2,30,الدِّمَاءَ
ن ح ن,2,30,وَنَحْنُ
س ب ح,2,30,نُسَبِّحُ
ح م د,2,30,بِحَمْدِكَ
ق د س,2,30,وَنُقَدِّسُ
ل,2,30,لَكَ
ق و ل,2,30,قَالَ
ا ن ن,2,30,إِنِّي
ع ل م,2,30,أَعْلَمُ
م ا,2,30,مَا
ل ا,2,30,لَا
ع ل م,2,30,تَعْلَمُونَ
ع ل م,2,31,وَعَلَّمَ
ا د م,2,31,ءَادَمَ
س م و,2,31,الْأَسْمَاءَ
ك ل ل,2,31,كُلَّهَا
ث م م,2,31,ثُمَّ
ع ر ض,2,31,عَرَضَهُمْ
ع ل ي,2,31,عَلَى
م ل ك,2,31,الْمَلَائِكَةِ
ق و ل,2,31,فَقَالَ
ن ب ا,2,31,أَنْبِئُونِي
س م و,2,31,بِأَسْمَاءِ
ا و ل ا,2,31,هَؤُلَاءِ
ا ن,2,31,إِنْ
ك و ن,2,31,كُنْتُمْ
ص د ق,2,31,صَادِقِينَ
ق و ل,2,32,قَالُوا
س ب ح,2,32,سُبْحَانَكَ
ل ا,2,32,لَا
ع ل م,2,32,عِلْمَ
ل,2,32,لَنَا
ا ل ل ا,2,32,إِلَّا
م ا,2,32,مَا
ع ل م,2,32,عَلَّمْتَنَا
ا ن ن,2,32,إِنَّكَ
ا ن ت,2,32,أَنْتَ
ع ل م,2,32,الْعَلِيمُ
ح ك م,2,32,الْحَكِيمُ
ق و ل,2,33,قَالَ
ا د م,2,33,يَاءَادَمُ
ن ب ا,2,33,أَنْبِئْهُمْ
س م و,2,33,بِأَسْمَائِهِمْ
ل م م ا,2,33,فَلَمَّا
ن ب ا,2,33,أَنْبَأَهُمْ
س م و,2,33,بِأَسْمَائِهِمْ
ق و ل,2,33,قَالَ
ل م,2,33,أَلَمْ
ق و ل,2,33,أَقُلْ
ل,2,33,لَكُمْ
ا ن ن,2,33,إِنِّي
ع ل م,2,33,أَعْلَمُ
غ ي ب,2,33,غَيْبَ
س م و,2,33,السَّمَاوَاتِ
ا ر ض,2,33,وَالْأَرْضِ
ع ل م,2,33,وَأَعْلَمُ
م ا,2,33,مَا
ب د و,2,33,تُبْدُونَ
م ا,2,33,وَمَا
ك و ن,2,33,كُنْتُمْ
ك ت م,2,33,تَكْتُمُونَ
ا ذ,2,34,وَإِذْ
ق و ل,2,34,قُلْنَا
م ل ك,2,34,لِلْمَلَائِكَةِ
س ج د,2,34,اسْجُدُوا
ا د م,2,34,لِءَادَمَ
س ج د,2,34,فَسَجَدُوا
ا ل ل ا,2,34,إِلَّا
ب ل س,2,34,إِبْلِيسَ
ا ب ي,2,34,أَبَى
ك ب ر,2,34,وَاسْتَكْبَرَ
ك و ن,2,34,وَكَانَ
م ن,2,34,مِنَ
ك ف ر,2,34,الْكَافِرِينَ
ق و ل,2,35,وَقُلْنَا
ا د م,2,35,يَاءَادَمُ
س ك ن,2,35,اسْكُنْ
ا ن ت,2,35,أَنْتَ
ز و ج,2,35,وَزَوْجُكَ
ج ن ن,2,35,الْجَنَّةَ
ا ك ل,2,35,وَكُلَا
م ن,2,35,مِنْهَا
ر غ د,2,35,رَغَدًا
ح ي ث,2,35,حَيْثُ
ش ي ا,2,35,شِئْتُمَا
ل ا,2,35,وَلَا
ق ر ب,2,35,تَقْرَبَا
ه ا ذ,2,35,هَذِهِ
ش ج ر,2,35,الشَّجَرَةَ
ك و ن,2,35,فَتَكُونَا
م ن,2,35,مِنَ
ظ ل م,2,35,الظَّالِمِينَ
ز ل ل,2,36,فَأَزَلَّهُمَا
ش ط ن,2,36,الشَّيْطَانُ
ع ن,2,36,عَنْهَا
خ ر ج,2,36,فَأَخْرَجَهُمَا
م م ا,2,36,مِمَّا
ك و ن,2,36,كَانَا
ف ي,2,36,فِيهِ
ق و ل,2,36,وَقُلْنَا
ه ب ط,2,36,اهْبِطُوا
ب ع ض,2,36,بَعْضُكُمْ
ب ع ض,2,36,لِبَعْضٍ
ع د و,2,36,عَدُوٌّ
ل,2,36,وَلَكُمْ
ف ي,2,36,فِي
ا ر ض,2,36,الْأَرْضِ
ق ر ر,2,36,مُسْتَقَرٌّ
م ت ع,2,36,وَمَتَاعٌ
ا ل ي,2,36,إِلَى
ح ي ن,2,36,حِينٍ
ل ق ي,2,37,فَتَلَقَّى
ا د م,2,37,ءَادَمُ
م ن,2,37,مِنْ
ر ب ب,2,37,رَبِّهِ
ك ل م,2,37,كَلِمَاتٍ
ت و ب,2,37,فَتَابَ
ع ل ي,2,37,عَلَيْهِ
ا ن ن,2,37,إِنَّهُ
ه و,2,37,هُوَ
ت و ب,2,37,التَّوَّابُ
ر ح م,2,37,الرَّحِيمُ
ق و ل,2,38,قُلْنَا
ه ب ط,2,38,اهْبِطُوا
م ن,2,38,مِنْهَا
ج م ع,2,38,جَمِيعًا
ا م م ا,2,38,فَإِمَّا
ا ت ي,2,38,يَأْتِيَنَّكُمْ
م ن,2,38,مِنِّي
ه د ي,2,38,هُدًى
م ن,2,38,فَمَنْ
ت ب ع,2,38,تَبِعَ
ه د ي,2,38,هُدَايَ
ل ا,2,38,فَلَا
خ و ف,2,38,خَوْفٌ
ع ل ي,2,38,عَلَيْهِمْ
ل ا,2,38,وَلَا
ه م,2,38,هُمْ
ح ز ن,2,38,يَحْزَنُونَ
ا ل ل ذ,2,39,وَالَّذِينَ
ك ف ر,2,39,كَفَرُوا
ك ذ ب,2,39,وَكَذَّبُوا
ا ي ا,2,39,بِءَايَاتِنَا
ا و ل ا,2,39,أُولَئِكَ
ص ح ب,2,39,أَصْحَابُ
ن و ر,2,39,النَّارِ
ه م,2,39,هُمْ
ف ي,2,39,فِيهَا
خ ل د,2,39,خَالِدُونَ
ب ن و,2,40,يَابَنِي
ا س ر,2,40,إِسْرَاءِيلَ
ذ ك ر,2,40,اذْكُرُوا
ن ع م,2,40,نِعْمَتِيَ
ا ل ل ت,2,40,الَّتِي
ن ع م,2,40,أَنْعَمْتُ
ع ل ي,2,40,عَلَيْكُمْ
و ف ي,2,40,وَأَوْفُوا
ع ه د,2,40,بِعَهْدِي
و ف ي,2,40,أُوفِ
ع ه د,2,40,بِعَهْدِكُمْ
ا ي ي,2,40,وَإِيَّايَ
ر ه ب,2,40,فَارْهَبُونِ
ا م ن,2,41,وَءَامِنُوا
ب م ا,2,41,بِمَا
ن ز ل,2,41,أَنْزَلْتُ
ص د ق,2,41,مُصَدِّقًا
ل م ا,2,41,لِمَا
م ع,2,41,مَعَكُمْ
ل ا,2,41,وَلَا
ك و ن,2,41,تَكُونُوا
ا و ل,2,41,أَوَّلَ
ك ف ر,2,41,كَافِرٍ
ب,2,41,بِهِ
ل ا,2,41,وَلَا
ش ر ي,2,41,تَشْتَرُوا
ا ي ا,2,41,بِءَايَاتِي
ث م ن,2,41,ثَمَنًا
ق ل ل,2,41,قَلِيلًا
ا ي ي,2,41,وَإِيَّايَ
و ق ي,2,41,فَاتَّقُونِ
ل ا,2,42,وَلَا
ل ب س,2,42,تَلْبِسُوا
ح ق ق,2,42,الْحَقَّ
ب ط ل,2,42,بِالْبَاطِلِ
ك ت م,2,42,وَتَكْتُمُوا
ح ق ق,2,42,الْحَقَّ
ا ن ت م,2,42,وَأَنْتُمْ
ع ل م,2,42,تَعْلَمُونَ
ق و م,2,43,وَأَقِيمُوا
ص ل و,2,43,الصَّلَوةَ
ا ت ي,2,43,وَءَاتُوا
ز ك و,2,43,الزَّكَوةَ
ر ك ع,2,43,وَارْكَعُوا
م ع,2,43,مَعَ
ر ك ع,2,43,الرَّاكِعِينَ
ا م ر,2,44,أَتَأْمُرُونَ
ن و س,2,44,النَّاسَ
ب ر ر,2,44,بِالْبِرِّ
ن س ي,2,44,وَتَنْسَوْنَ
ن ف س,2,44,أَنْفُسَكُمْ
ا ن ت م,2,44,وَأَنْتُمْ
ت ل و,2,44,تَتْلُونَ
ك ت ب,2,44,الْكِتَابَ
ل ا,2,44,أَفَلَا
ع ق ل,2,44,تَعْقِلُونَ
ع و ن,2,45,وَاسْتَعِينُوا
ص ب ر,2,45,بِالصَّبْرِ
ص ل و,2,45,وَالصَّلَوةِ
ا ن ن,2,45,وَإِنَّهَا
ك ب ر,2,45,لَكَبِيرَةٌ
ا ل ل ا,2,45,إِلَّا
ع ل ي,2,45,عَلَى
خ ش ع,2,45,الْخَاشِعِينَ
ا ل ل ذ,2,46,الَّذِينَ
ظ ن ن,2,46,يَظُنُّونَ
ا ن ن,2,46,أَنَّهُمْ
ل ق ي,2,46,مُلَاقُوا
ر ب ب,2,46,رَبِّهِمْ
ا ن ن,2,46,وَأَنَّهُمْ
ا ل ي,2,46,إِلَيْهِ
ر ج ع,2,46,رَاجِعُونَ
ب ن و,2,47,يَابَنِي
ا س ر,2,47,إِسْرَاءِيلَ
ذ ك ر,2,47,اذْكُرُوا
ن ع م,2,47,نِعْمَتِيَ
ا ل ل ت,2,47,الَّتِي
ن ع م,2,47,أَنْعَمْتُ
ع ل ي,2,47,عَلَيْكُمْ
ا ن ن,2,47,وَأَنِّي
ف ض ل,2,47,فَضَّلْتُكُمْ
ع ل ي,2,47,عَلَى
ع ل م,2,47,الْعَالَمِينَ
و ق ي,2,48,وَاتَّقُوا
ي و م,2,48,يَوْمًا
ل ا,2,48,لَا
ج ز ي,2,48,تَجْزِي
ن ف س,2,48,نَفْسٌ
ع ن,2,48,عَنْ
ن ف س,2,48,نَفْسٍ
ش ي ا,2,48,شَيْئًا
ل ا,2,48,وَلَا
ق ب ل,2,48,يُقْبَلُ
م ن,2,48,مِنْهَا
ش ف ع,2,48,شَفَاعَةٌ
ل ا,2,48,وَلَا
