Name,Surah,Ayat,Arabic,Translation1,Translation2,Translation3,Tafaseer1,Tafaseer2
Cattle,6,106,ٱتَّبِعْ مَآ أُوحِيَ إِلَيْكَ مِن رَّبِّكَ لاۤ إِلَـٰهَ إِلاَّ هُوَ وَأَعْرِضْ عَنِ ٱلْمُشْرِكِينَ,"Follow this (Qur’an) which has been revealed to you from your Lord. There is no God except Allah, and turn away from those who associate partners with Allah.",Follow thou what has been revealed to thee from thy Lord; there is no god but He; and turn thou away from the idolaters.,Follow that which is inspired in thee from thy Lord; there is no God save Him; and turn away from the idolaters.,Follow what has been revealed to you from your Lord namely the Qur’ān. There is no god but Him; and turn away from the idolaters.,"(Follow that which is inspired in you from thy Lord) act upon that which is revealed to you from your Lord, i.e. the Qur'an: what is lawful and unlawful; (there is no God save Him) there is no creator or provider save Him; (and turn away from the idolaters) those who mock, among whom are al-Walid Ibn al-Mughirah al-Makhzumi, al-'As Ibn Wa'il al-Sahmi, al-Aswad Ibn 'Abd Yaghuth al-Zuhri, al-Aswad Ibn al-Harith Ibn 'Abd al-Muttalib, and al-Harith Ibn Qays Ibn Hanzalah."
Repentance,9,31,ٱتَّخَذُوۤاْ أَحْبَارَهُمْ وَرُهْبَانَهُمْ أَرْبَاباً مِّن دُونِ ٱللَّهِ وَٱلْمَسِيحَ ٱبْنَ مَرْيَمَ وَمَآ أُمِرُوۤاْ إِلاَّ لِيَعْبُدُوۤاْ إِلَـٰهاً وَاحِداً لاَّ إِلَـٰهَ إِلاَّ هُوَ سُبْحَانَهُ عَمَّا يُشْرِكُونَ,"They took their priests and monks for lords besides Allah and (also) the Messiah, the son of Maryam (Mary), whilst in truth they had not been given (any) command except to worship (only) the One God besides Whom there is no God. Holy is He, far above those that they associate with Him as partners.","They have taken their rabbis and their monks as lords apart from God, and the Messiah, Mary’s son -- and they were commanded to serve but One God; there is no god but He; glory be to Him, above that they associate --","They have taken as lords beside Allah their rabbis and their monks and the Messiah son of Mary, when they were bidden to worship only One God. There is no God save Him. Be He Glorified from all that they ascribe as partner (unto Him)!",They have taken their rabbis the scholars among the Jews and their monks the devout among the Christians as lords beside God — following them in making lawful what God has made unlawful and making unlawful what He has made lawful — and the Messiah son of Mary when they were not commanded in the Torah and the Gospel except to worship One God there is no god except Him; glory be to Him as an affirmation of His transcendence high above what they associate with Him.,"(They have taken as lords beside Allah) i.e. they obeyed them in acts of disobedience (their rabbis) the men of knowledge among the Jews (and their monks) who reside in monasteries (and the Messiah son of Mary) and they have taken the Messiah son of Mary as lord, (when they were bidden) in all Scriptures (to worship) to confess the divine Oneness of (only One God. There is no god save Him. Be He glorified from all that they ascribe as partner (unto Him)!) Allah exalts Himself above all that which they ascribe to Him."
The Hypocrites,63,2,ٱتَّخَذُوۤاْ أَيْمَانَهُمْ جُنَّةً فَصَدُّواْ عَن سَبِيلِ ٱللَّهِ إِنَّهُمْ سَآءَ مَا كَانُواْ يَعْمَلُونَ,"They have made their oaths a shield. Then they hinder (the people) from the path of Allah. Surely, that is an extremely evil (work) which they are doing.","They have taken their oaths as a covering, then they have barred from the way of God. Surely they -- evil are the things they have been doing.","They make their faith a pretext so that they may turn (men) from the way of Allah. Verily evil is that which they are wont to do,",They have taken their oaths as a shield as a means of protection for their possessions and their lives and so they have barred thereby from the way of God that is from using them for the struggle. Evil indeed is that which they are wont to do.,"(They make their faith) they make their oath by Allah (a pretext) to escape being killed (that they may turn (men) from the way of Allah) and bar people from Allah's religion and obedience in secret. (Verily evil is that which they are wont to do) evil is that which they do in their state of disbelief and hypocrisy, of plotting, treachery and turning people away,"
She That Disputeth,58,16,ٱتَّخَذْوۤاْ أَيْمَانَهُمْ جُنَّةً فَصَدُّواْ عَن سَبِيلِ ٱللَّهِ فَلَهُمْ عَذَابٌ مُّهِينٌ,"They have made their (false) oaths a shield. So they hinder (others) from the way of Allah. Consequently, there is a humiliating punishment for them.","They have taken their oaths as a covering, and barred from God’s way; so there awaits them a humbling chastisement.",They make a shelter of their oaths and turn (men) from the way of Allah; so theirs will be a shameful doom.,They have taken their oaths as a shield a means of protection for themselves and their possessions and so they bar thereby the believers from the way of God that is from engaging in a struggle against them thereby slaying them and seizing their possessions. So for them there will be a humiliating chastisement.,(They make a shelter of their oaths) they lie in their oath in order not to be killed (and turn (men) from the way of Allah) they secretly turn people away from Allah's religion and obedience; (so theirs will be a shameful doom) with which they will be humiliated in the Hereafter.
Those Who Set The Ranks,37,22,ٱحْشُرُواْ ٱلَّذِينَ ظَلَمُواْ وَأَزْوَاجَهُمْ وَمَا كَانُواْ يَعْبُدُونَ,"Assemble all those who committed injustice as well as their companions and followers and those (false gods) that they used to worship,","Muster those who did evil, their wives, and that they were serving,","(And it is said unto the angels): Assemble those who did wrong, together with their wives and what they used to worship",It is then said to the angels ‘Gather those who did wrong to their own souls through idolatry together with their mates their associates from among the devils and what they used to worship,"Allah would then say to the angels: (Assemble those who did wrong) assemble those who associated partners with Allah, (together with their wives) with their friends and those who are of their calibre from among the jinn, humans and satans (and what they used to worship) of idols"
The Believer,40,76,ٱدْخُلُوۤاْ أَبْوَابَ جَهَنَّمَ خَالِدِينَ فِيهَا فَبِئْسَ مَثْوَى ٱلْمُتَكَبِّرِينَ,Enter the gates of Hell. You will live in it forever. So how evil is the abode of the arrogant!,"Enter the gates of Gehenna, to dwell therein forever.’ How evil is the lodging of those that are proud!","Enter ye the gates of hell, to dwell therein. Evil is the habitation of the scornful.",Enter the gates of Hell to abide therein’. Evil then is the ultimate abode of the arrogant!,"(Enter ye the gates of hell, to dwell therein) never to die or come out. (Evil is the habitation of the scornful) evil is the habitation of the disbelievers in the Fire."
Ornaments of Gold,43,70,ٱدْخُلُواْ ٱلْجَنَّةَ أَنتُمْ وَأَزْوَاجُكُمْ تُحْبَرُونَ,"Enter Paradise, you and your intimate companions* (all); you will be honoured (with blessings, comforts and the pleasures of Paradise).","’Enter Paradise, you and your wives, walking with joy!’","Enter the Garden, ye and your wives, to be made glad.",Enter Paradise you antum the subject and your spouses your wives to be made joyful to be made happy and to be honoured tuhbarūna ‘to be made joyful’ is the predicate of the above subject.,"(Enter the Garden, ye and your wives, to be made glad) to be honoured with gifts and delights in Paradise."
Qâf,50,34,ٱدْخُلُوهَا بِسَلاَمٍ ذَلِكَ يَوْمُ ٱلُخُلُودِ,Enter it in peace; this is the Day of Eternity.’,’Enter it in peace! This is the Day of Eternity.’,Enter it in peace. This is the day of immortality.,It will also be said to the God-fearing ‘Enter it in peace! that is to say secure from every fear or it means enter it with a greeting that is to say greet yourselves and enter. That day in which this entry takes place is the day of immortality’ of everlastingness in Paradise.,Allah will say to them: (Enter it) i.e. Paradise (in peace) in safety from Allah's chastisement. (This is the day of immortality) the day when the dwellers of Paradise will enter Paradise to abide therein for eternity.
Al-Hijr,15,46,ٱدْخُلُوهَا بِسَلامٍ آمِنِينَ,"(It will be said to them:) ‘Enter them peacefully, casting aside all fears.’","’Enter you them, in peace and security!’","(And it is said unto them): Enter them in peace, secure.",And it shall be said to them ‘Enter them in peace that is safe from all danger — or it means enter with the greeting of ‘Peace!’ in other words say ‘Peace’ and then enter secure!’ from all terror.,"((And it is said unto them): Enter them) Allah, Exalted is He, will say to them on the Day of Judgement: enter Paradise (in peace) with peace and greetings; it is also said that this means: with safety and redemption from Us, (secure) from death and evanescence."
The Bee,16,125,ٱدْعُ إِلَىٰ سَبِيلِ رَبِّكَ بِٱلْحِكْمَةِ وَٱلْمَوْعِظَةِ ٱلْحَسَنَةِ وَجَٰدِلْهُم بِٱلَّتِي هِيَ أَحْسَنُ إِنَّ رَبَّكَ هُوَ أَعْلَمُ بِمَن ضَلَّ عَن سَبِيلِهِ وَهُوَ أَعْلَمُ بِٱلْمُهْتَدِينَ,"(O Glorious Messenger!) Invite towards the path of your Lord with wisdom and refined exhortation and (also) argue with them in a most decent manner. Surely, your Lord knows well the one who strayed away from His path, and He also knows well the rightly guided.","Call thou to the way of thy Lord with wisdom and good admonition, and dispute with them in the better way. Surely thy Lord knows very well those who have gone astray from His way, and He knows very well those who are guided.","Call unto the way of thy Lord with wisdom and fair exhortation, and reason with them in the better way. Lo! thy Lord is Best Aware of him who strayeth from His way, and He is Best Aware of those who go aright.",Call mankind O Muhammad (s) to the way of your Lord to His religion with wisdom with the Qur’ān and fair exhortation its the Qur’ān’s fair exhortations or with gentle words and dispute with them by way of that which that is by way of that manner of disputation which is best such as calling them to God by way of His signs and calling them to His definitive arguments. Truly your Lord knows best that is He is fully knowledgeable of those who stray from His way and He knows best those who are guided and will requite them — this was revealed before the command to fight them.,"(Call unto the way of thy Lord) the religion of your Lord (with wisdom) with the Qur'an (and fair exhortation) exhort them with the exhortations of the Qur'an, (and reason with them in the better way) with the Qur'an; it is also said that this means: by means of “there is no god but Allah”. (Lo! thy Lord is best aware of him who strayeth from His way) from His religion, (and He is Best Aware of those who go aright) to His religion."
The Heights,7,55,ٱدْعُواْ رَبَّكُمْ تَضَرُّعاً وَخُفْيَةً إِنَّهُ لاَ يُحِبُّ ٱلْمُعْتَدِينَ,"Invoke your Lord (both) most submissively and queitly. Surely, He does not like the transgressors.","Call on your Lord, humbly and secretly; He loves not transgressors.",(O mankind!) Call upon your Lord humbly and in secret. Lo! He loveth not aggressors.,Call upon your Lord humbly tadarru‘an is a circumstantial qualifier in subservience and quietly in secret. Truly He loves not the aggressors who are braggarts and loud-mouthed in their supplications.,"((O mankind!) Call upon your Lord humbly) openly (and in secret) it is also said that this means: call upon your Lord humbly and out of fear. (Lo! He loveth not aggressors) in their supplications, by calling for that which is not permissible for them against the righteous."
The Clans,33,5,ٱدْعُوهُمْ لآبَآئِهِمْ هُوَ أَقْسَطُ عِندَ ٱللَّهِ فَإِن لَّمْ تَعْلَمُوۤاْ آبَاءَهُمْ فَإِخوَانُكُمْ فِي ٱلدِّينِ وَمَوَالِيكُمْ وَلَيْسَ عَلَيْكُمْ جُنَاحٌ فِيمَآ أَخْطَأْتُمْ بِهِ وَلَـٰكِن مَّا تَعَمَّدَتْ قُلُوبُكُمْ وَكَانَ ٱللَّهُ غَفُوراً رَّحِيماً,"Call them (the adopted sons) after their fathers’ (names). That is most just in the sight of Allah. So if you do not know their fathers, then they are your brothers in the Din (Religion) and your friends. And there is no sin on you for what you said by mistake, but (that will be a sure sin) which your hearts intend. And Allah is Most Forgiving, Ever-Merciful.","Call them after their true fathers; that is more equitable in the sight of God. If you know not who their fathers were, then they are your brothers in religion, and your clients. There is no fault in you if you make mistakes, but only in what your hearts premeditate. God is All-forgiving, All-compassionate.","Proclaim their real parentage. That will be more equitable in the sight of Allah. And if ye know not their fathers, then (they are) your brethren in the faith, and your clients. And there is no sin for you in the mistakes that ye make unintentionally, but what your hearts purpose (that will be a sin for you). Allah is ever Forgiving, Merciful.",Instead attribute them to their true fathers. That is more equitable that is more just in the sight of God. If you do not know their true fathers then they are your brethren in religion and as your associates. And you would not be at fault for any mistake you make in this respect except in what your hearts may premeditate after the prohibition has been issued. And God is Forgiving of whatever you said before the prohibition was issued Merciful to you in this respect.,"(Proclaim their real parentage) name them in relation to their real fathers. (That will be more equitable) better, more correct and fairer (in the sight of Allah) in relation to lineage. (And if ye know not their fathers) if you do not know the lineage of their fathers, (then (they are) your brethren in the faith) name them with names showing brotherhood in faith: 'Abdullah, 'Abd al-Rahman, 'Abd al-Rahim and 'Abd al-Raziq, (and your clients) and name them as your clients. (And there is no sin for you in the mistakes that ye make unintentionally) regarding the identification of one's parentage, (but what your hearts purpose (that will be a sin for you)) what is a sin for you is to attribute intentionally someone to other than his real father. (Allah is Forgiving) of what was done in the past, (Merciful) in relation to what will happen in the future. This verse was revealed about Zayd Ibn Harithah who was adopted by the Prophet (pbuh). People used to call him Zayd Ibn Muhammad, but Allah forbade them from calling him so and guided them to what is proper."
The Believers,23,96,ٱدْفَعْ بِٱلَّتِي هِيَ أَحْسَنُ ٱلسَّيِّئَةَ نَحْنُ أَعْلَمُ بِمَا يَصِفُونَ,Repel evil in such a way as is best of all. We know best (the things) they say.,Repel thou the evil with that which is fairer. We Ourselves know very well that they describe.,Repel evil with that which is better. We are Best Aware of that which they allege.,Ward off with that which is better that is to say with the better trait of pardoning and shunning them the evil act the hurt they cause you — this was revealed before the command to fight them. We know best what they allege what they invent of lies and what they say and so We will requite them for it.,"(Repel evil with that which is better) repel by means of "" there is no god except Allah "" the expression of idolatry which is coming from Abu Jahl and his host; and it is also said that this means: repel from yourself their indecent talk through the greeting of peace. (We are best Aware of that which they allege) of lies."
Tâ Hâ,20,43,ٱذْهَبَآ إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ,"Go, both of you, to Pharaoh; surely, he has transgressed all bounds in rebellion.","Go to Pharaoh, for he has waxed insolent;","Go, both of you, unto Pharaoh. Lo! he hath transgressed (the bounds).",Go the two of you to Pharaoh. Truly he has transgressed the bounds in claiming to be the Lord.,"(Go, both of you, unto Pharaoh. Lo! he hath transgressed (the bounds)) he has become arrogant, overweening and a disbeliever."
Joseph,12,93,ٱذْهَبُواْ بِقَمِيصِي هَـٰذَا فَأَلْقُوهُ عَلَىٰ وَجْهِ أَبِي يَأْتِ بَصِيراً وَأْتُونِي بِأَهْلِكُمْ أَجْمَعِينَ,Take this shirt of mine and cast it over my father’s face; he will recover his sight. (Then) bring me the whole of your family.’,"Go, take this shirt, and do you cast it on my father’s face, and he shall recover his sight; then bring me your family all together.’","Go with this shirt of mine and lay it on my father’s face, he will become (again) a seer; and come to me with all your folk.",He Joseph asked them about his father; and they told him that his eyesight had gone. And so he said Go with this shirt of mine — and this was the shirt of Abraham the one he wore when he was thrown into the fire; he Joseph had it around his neck when he was at the bottom of the well. It the shirt had come from Paradise Gabriel commanded him Joseph to send it off to Jacob saying that the scent of Paradise lingers in it and whenever it is cast upon a sufferer it heals him — and lay it on my father’s face and he will recover his sight; and bring me all your folk’.,"(Go with this shirt of mine) and his shirt was from Paradise (and lay it on my father's face, he will become (again) a seer) he will regain his sight; (and come to me with all your folk) they were about seventy people."
Tâ Hâ,20,24,ٱذْهَبْ إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ,Go to Pharaoh. He has exceeded limits (in defiance and rebellion).’,Go to Pharaoh; he has waxed insolent.’,Go thou unto Pharaoh! Lo! he hath transgressed (the bounds).,Go as a messenger from God to Pharaoh and to those with him. He has indeed transgressed’ he has exceeded the usual limits in his disbelief by claiming to be a god.,"(Go thou unto Pharaoh! Lo! he hath transgressed (the bounds)) he became arrogant, overweening and a disbeliever."
Those Who Drag Forth,79,17,ٱذْهَبْ إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ,(And commanded:) ‘Go to Pharaoh. He has transgressed all bounds.’,’Go to Pharaoh; he has waxed insolent.,(Saying:) Go thou unto Pharaoh - Lo! he hath rebelled -,‘Go to Pharaoh; he has indeed become rebellious he has exceeded all bounds with his disbelief,((Saying:) Go thou) O Moses (unto Pharaoh. Lo! he hath rebelled) he is arrogant and too proud and has refused to believe in Allah
Tâ Hâ,20,42,ٱذْهَبْ أَنتَ وَأَخُوكَ بِآيَاتِي وَلاَ تَنِيَا فِي ذِكْرِي,"Go, you and your brother (Harun [Aaron]), with My signs and do not slacken in remembering Me.","go therefore, thou and thy brother; with My signs, and neglect not to remember Me.","Go, thou and thy brother, with My tokens, and be not faint in remembrance of Me.",Go you and your brother to the people with My nine signs and do not flag be remiss in remembrance of Me by uttering glorifications and otherwise.,"(Go, thou and thy brother) Aaron, (with My tokens) the hand and the staff, (and be not faint in remembrance of Me) do not weaken, wane or slacken in conveying My message to Pharaoh."
The Ant,27,28,ٱذْهَب بِّكِتَابِي هَـٰذَا فَأَلْقِهْ إِلَيْهِمْ ثُمَّ تَوَلَّ عَنْهُمْ فَٱنْظُرْ مَاذَا يَرْجِعُونَ,Go with this letter of mine and deliver it to them. Then withdraw from them and see what they turn to.’,"Take this letter of mine, and cast it unto them, then turn back from them and see what they shall return ’","Go with this my letter and throw it down unto them; then turn away and see what (answer) they return,",Take this letter of mine and deliver it to them that is to Bilqīs and her people then turn away withdraw from them but remain close by them and see what response they shall return’ and see what kind of response they shall give. Thus he took it and approached her Bilqīs. But as her soldiers were all around her he cast it into her private chamber. When she saw it she shuddered and was consumed by fear. She read what it said.,"Go with this my letter and throw it down unto them; then turn away) then move away such that they do not see you (and see what (answer) they return) when they read my letter,"
