RootAr,RootCode,RootEn,RootWordId,ChapterNo,MeaningEn,VerseNo,WordAr,WordNo,GrammarFormDesc,
إِذًا,<i*FA,idhan,1664,36,then,24,اِذًا,2,Particle,
إِذًا,<i*FA,idhan,1664,53,then,22,اِذًا,2,Particle,
إِذًا,<i*FA,idhan,1664,54,then,24,اِذًا,7,Particle,
إِذًا,<i*FA,idhan,1664,79,then,12,اِذًا,3,Particle,
أَم,>am,am,1663,2,or,6,اَمۡ,7,Coordinating conjunction,
أَم,>am,am,1663,2,Or,80,اَمۡ,17,Coordinating conjunction,
أَم,>am,am,1663,2,Or,108,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,2,Or,133,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,2,Or,140,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,2,or,140,اَمِ,16,Coordinating conjunction,
أَم,>am,am,1663,2,Or,214,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,3,Or,142,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,4,Or,53,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,4,Or,54,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,4,or,109,اَمۡ,14,Coordinating conjunction,
أَم,>am,am,1663,6,or what,143,اَمَّا,14,Coordinating conjunction,
أَم,>am,am,1663,6,or,143,اَمِ,12,Coordinating conjunction,
أَم,>am,am,1663,6,or what,144,اَمَّا,12,Coordinating conjunction,
أَم,>am,am,1663,6,or,144,اَمِ,10,Coordinating conjunction,
أَم,>am,am,1663,6,Or,144,اَمۡ,17,Coordinating conjunction,
أَم,>am,am,1663,7,or,193,اَمۡ,10,Coordinating conjunction,
أَم,>am,am,1663,7,or,195,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,7,or,195,اَمۡ,10,Coordinating conjunction,
أَم,>am,am,1663,7,or,195,اَمۡ,15,Coordinating conjunction,
أَم,>am,am,1663,9,Or,16,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,9,or,109,اَمۡ,10,Coordinating conjunction,
أَم,>am,am,1663,10,Or who,31,اَمَّنۡ,7,Coordinating conjunction,
أَم,>am,am,1663,10,or (he) who,35,اَمَّنۡ,20,Coordinating conjunction,
أَم,>am,am,1663,10,Or,38,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,10,or,59,اَمۡ,17,Coordinating conjunction,
أَم,>am,am,1663,11,Or,13,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,11,Or,35,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,12,or,39,اَمِ,6,Coordinating conjunction,
أَم,>am,am,1663,13,Or,16,اَمۡ,24,Coordinating conjunction,
أَم,>am,am,1663,13,Or,16,اَمۡ,29,Coordinating conjunction,
أَم,>am,am,1663,13,Or,33,اَمۡ,14,Coordinating conjunction,
أَم,>am,am,1663,13,or,33,اَمۡ,21,Coordinating conjunction,
أَم,>am,am,1663,14,or,21,اَمۡ,29,Coordinating conjunction,
أَم,>am,am,1663,16,or,59,اَمۡ,12,Coordinating conjunction,
أَم,>am,am,1663,17,Or,69,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,18,Or,9,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,19,or,78,اَمِ,3,Coordinating conjunction,
أَم,>am,am,1663,20,or,86,اَمۡ,17,Coordinating conjunction,
أَم,>am,am,1663,21,Or,21,اَمِ,1,Coordinating conjunction,
أَم,>am,am,1663,21,Or,24,اَمِ,1,Coordinating conjunction,
أَم,>am,am,1663,21,Or,43,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,21,or,55,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,21,or,109,اَمۡ,10,Coordinating conjunction,
أَم,>am,am,1663,23,or,68,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,23,Or,69,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,23,Or,70,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,23,Or,72,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,24,or,50,اَمِ,4,Coordinating conjunction,
أَم,>am,am,1663,24,or,50,اَمۡ,6,Coordinating conjunction,
أَم,>am,am,1663,25,or,15,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,25,or,17,اَمۡ,13,Coordinating conjunction,
أَم,>am,am,1663,25,Or,44,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,26,or,136,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,27,or,20,اَمۡ,9,Coordinating conjunction,
أَم,>am,am,1663,27,or,27,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,27,or,40,اَمۡ,26,Coordinating conjunction,
أَم,>am,am,1663,27,or,41,اَمۡ,7,Coordinating conjunction,
أَم,>am,am,1663,27,or what,59,اَمَّا,11,Coordinating conjunction,
أَم,>am,am,1663,27,Or Who,60,اَمَّنۡ,1,Coordinating conjunction,
أَم,>am,am,1663,27,Or Who,61,اَمَّنۡ,1,Coordinating conjunction,
أَم,>am,am,1663,27,Or Who,62,اَمَّنۡ,1,Coordinating conjunction,
أَم,>am,am,1663,27,Or Who,63,اَمَّنۡ,1,Coordinating conjunction,
أَم,>am,am,1663,27,Or Who,64,اَمَّنۡ,1,Coordinating conjunction,
أَم,>am,am,1663,27,or what,84,اَمَّاذَا,11,Coordinating conjunction,
أَم,>am,am,1663,29,Or,4,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,30,Or,35,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,32,Or,3,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,34,or,8,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,35,or,40,اَمۡ,14,Coordinating conjunction,
أَم,>am,am,1663,35,Or,40,اَمۡ,19,Coordinating conjunction,
أَم,>am,am,1663,36,or,10,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,37,or,11,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,37,or,62,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,37,Or,150,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,37,Or,156,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,38,Or,9,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,38,Or,10,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,38,Or,28,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,38,Or,28,اَمۡ,10,Coordinating conjunction,
أَم,>am,am,1663,38,or,63,اَمۡ,3,Coordinating conjunction,
أَم,>am,am,1663,38,or,75,اَمۡ,11,Coordinating conjunction,
أَم,>am,am,1663,39,Is (one) who,9,اَمَّنۡ,1,Coordinating conjunction,
أَم,>am,am,1663,39,Or,43,اَمِ,1,Coordinating conjunction,
أَم,>am,am,1663,41,or,40,اَمۡ,14,Coordinating conjunction,
أَم,>am,am,1663,42,Or,9,اَمِ,1,Coordinating conjunction,
أَم,>am,am,1663,42,Or,21,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,42,Or,24,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,43,Or,16,اَمِ,1,Coordinating conjunction,
أَم,>am,am,1663,43,Or,21,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,43,Or,52,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,43,or,58,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,43,Or,79,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,43,Or,80,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,44,or,37,اَمۡ,3,Coordinating conjunction,
أَم,>am,am,1663,45,Do,21,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,46,or,4,اَمۡ,13,Coordinating conjunction,
أَم,>am,am,1663,46,Or,8,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,47,or,24,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,47,Or do,29,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,or,15,اَمۡ,3,Coordinating conjunction,
أَم,>am,am,1663,52,Or,30,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,Or,32,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,or,32,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,52,Or,33,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,Or,35,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,or,35,اَمۡ,6,Coordinating conjunction,
أَم,>am,am,1663,52,Or,36,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,Or,37,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,or,37,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,52,Or,38,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,Or,39,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,Or,40,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,Or,41,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,Or,42,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,52,Or,43,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,53,Or,24,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,53,Or,36,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,54,or,43,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,54,Or,44,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,56,or,59,اَمۡ,3,Coordinating conjunction,
أَم,>am,am,1663,56,or,64,اَمۡ,3,Coordinating conjunction,
أَم,>am,am,1663,56,or,69,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,56,or,72,اَمۡ,4,Coordinating conjunction,
أَم,>am,am,1663,63,or,6,اَمۡ,5,Coordinating conjunction,
أَم,>am,am,1663,67,Or,17,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,67,Who is,20,اَمَّنۡ,1,Coordinating conjunction,
أَم,>am,am,1663,67,Who is,21,اَمَّنۡ,1,Coordinating conjunction,
أَم,>am,am,1663,67,or (he) who,22,اَمَّنۡ,7,Coordinating conjunction,
أَم,>am,am,1663,68,Or,37,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,68,Or,39,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,68,Or,41,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,68,Or,46,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,68,Or,47,اَمۡ,1,Coordinating conjunction,
أَم,>am,am,1663,72,or,10,اَمۡ,9,Coordinating conjunction,
أَم,>am,am,1663,72,or (whether),25,اَمۡ,7,Coordinating conjunction,
أَم,>am,am,1663,79,or,27,اَمِ,4,Coordinating conjunction,
إِذَا,<i*aA,idhā,1662,2,And when,11,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,13,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,14,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,But when,14,وَاِذَا,7,Time adverb,
إِذَا,<i*aA,idhā,1662,2,and when,20,وَاِذَآ,10,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,76,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,But when,76,وَاِذَا,7,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,91,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,117,وَاِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,156,اِذَآ,2,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,170,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,177,اِذَا,38,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,180,اِذَا,3,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,186,اِذَا,10,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,186,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,Then when,196,فَاِذَآ,34,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,196,اِذَا,54,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,198,فَاِذَآ,9,Time adverb,
إِذَا,<i*aA,idhā,1662,2,Then when,200,فَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,205,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,206,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,Then when,222,فَاِذَا,15,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,231,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,232,اِذَا,11,Time adverb,
إِذَا,<i*aA,idhā,1662,2,And when,232,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,233,اِذَا,52,Time adverb,
إِذَا,<i*aA,idhā,1662,2,Then when,234,فَاِذَا,11,Time adverb,
إِذَا,<i*aA,idhā,1662,2,Then when,239,فَاِذَآ,6,Time adverb,
إِذَا,<i*aA,idhā,1662,2,When,282,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,282,اِذَا,75,Time adverb,
إِذَا,<i*aA,idhā,1662,2,when,282,اِذَا,109,Time adverb,
إِذَا,<i*aA,idhā,1662,3,when,25,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,3,When,47,اِذَا,16,Time adverb,
إِذَا,<i*aA,idhā,1662,3,And when,119,وَاِذَا,9,Time adverb,
إِذَا,<i*aA,idhā,1662,3,And when,119,وَاِذَا,13,Time adverb,
إِذَا,<i*aA,idhā,1662,3,when,135,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,3,when,152,اِذَا,9,Time adverb,
إِذَا,<i*aA,idhā,1662,3,when,156,اِذَا,10,Time adverb,
إِذَا,<i*aA,idhā,1662,3,Then when,159,فَاِذَا,22,Time adverb,
إِذَا,<i*aA,idhā,1662,4,Then when,6,فَاِذَا,29,Time adverb,
إِذَا,<i*aA,idhā,1662,4,[when],6,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,4,And when,8,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,4,when,18,اِذَا,7,Time adverb,
إِذَا,<i*aA,idhā,1662,4,Then when,25,فَاِذَاۤ,35,Time adverb,
إِذَا,<i*aA,idhā,1662,4,when,41,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,4,and when,58,وَاِذَا,9,Time adverb,
إِذَا,<i*aA,idhā,1662,4,And when,61,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,4,when,62,اِذَاۤ,2,Time adverb,
إِذَا,<i*aA,idhā,1662,4,Then when,81,فَاِذَا,3,Time adverb,
إِذَا,<i*aA,idhā,1662,4,And when,83,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,4,And when,86,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,4,When,94,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,4,And when,101,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,4,Then when,102,فَاِذَا,13,Time adverb,
إِذَا,<i*aA,idhā,1662,4,And when,102,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,4,Then when,103,فَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,4,But when,103,فَاِذَا,10,Time adverb,
إِذَا,<i*aA,idhā,1662,4,when,140,اِذَا,7,Time adverb,
إِذَا,<i*aA,idhā,1662,4,And when,142,وَاِذَا,7,Time adverb,
إِذَا,<i*aA,idhā,1662,5,And when,2,وَاِذَا,24,Time adverb,
إِذَا,<i*aA,idhā,1662,5,when,5,اِذَاۤ,24,Time adverb,
إِذَا,<i*aA,idhā,1662,5,When,6,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,5,then when,23,فَاِذَا,12,Time adverb,
إِذَا,<i*aA,idhā,1662,5,And when,58,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,5,And when,61,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,5,And when,83,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,5,when,89,اِذَا,35,Time adverb,
إِذَا,<i*aA,idhā,1662,5,when,93,اِذَا,10,Time adverb,
إِذَا,<i*aA,idhā,1662,5,And when,104,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,5,when,105,اِذَا,10,Time adverb,
إِذَا,<i*aA,idhā,1662,5,when,106,اِذَا,6,Time adverb,
إِذَا,<i*aA,idhā,1662,6,when,25,اِذَا,22,Time adverb,
إِذَا,<i*aA,idhā,1662,6,when,31,اِذَا,8,Time adverb,
إِذَا,<i*aA,idhā,1662,6,and then,44,فَاِذَا,18,Time adverb,
إِذَا,<i*aA,idhā,1662,6,when,44,اِذَا,12,Time adverb,
إِذَا,<i*aA,idhā,1662,6,And when,54,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,6,when,61,اِذَا,9,Time adverb,
إِذَا,<i*aA,idhā,1662,6,And when,68,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,6,when,99,اِذَاۤ,36,Time adverb,
إِذَا,<i*aA,idhā,1662,6,when,109,اِذَا,18,Time adverb,
إِذَا,<i*aA,idhā,1662,6,And when,124,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,6,when,141,اِذَاۤ,20,Time adverb,
إِذَا,<i*aA,idhā,1662,6,And when,152,وَاِذَا,21,Time adverb,
إِذَا,<i*aA,idhā,1662,7,And when,28,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,7,So when,34,فَاِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,7,when,37,اِذَا,17,Time adverb,
إِذَا,<i*aA,idhā,1662,7,when,38,اِذَا,20,Time adverb,
إِذَا,<i*aA,idhā,1662,7,And when,47,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,7,when,57,اِذَاۤ,10,Time adverb,
إِذَا,<i*aA,idhā,1662,7,But when,131,فَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,7,then,135,اِذَا,9,Time adverb,
إِذَا,<i*aA,idhā,1662,7,and then,201,فَاِذَا,10,Time adverb,
إِذَا,<i*aA,idhā,1662,7,when,201,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,7,And when,203,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,7,And when,204,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,8,when,2,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,8,and when,2,وَاِذَا,9,Time adverb,
إِذَا,<i*aA,idhā,1662,8,When,15,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,8,when,24,اِذَا,7,Time adverb,
إِذَا,<i*aA,idhā,1662,8,And when,31,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,8,When,45,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,9,Then when,5,فَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,9,when,38,اِذَا,6,Time adverb,
إِذَا,<i*aA,idhā,1662,9,then,58,اِذَا,14,Time adverb,
إِذَا,<i*aA,idhā,1662,9,And when,86,وَاِذَاۤ,1,Time adverb,
إِذَا,<i*aA,idhā,1662,9,if,91,اِذَا,15,Time adverb,
إِذَا,<i*aA,idhā,1662,9,when,92,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,9,when,94,اِذَا,3,Time adverb,
إِذَا,<i*aA,idhā,1662,9,when,95,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,9,when,118,اِذَا,6,Time adverb,
إِذَا,<i*aA,idhā,1662,9,when,122,اِذَا,18,Time adverb,
إِذَا,<i*aA,idhā,1662,9,And whenever,124,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,9,And whenever,127,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,10,And when,12,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,10,And when,15,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,10,And when,21,وَاِذَاۤ,1,Time adverb,
إِذَا,<i*aA,idhā,1662,10,when,22,اِذَا,8,Time adverb,
إِذَا,<i*aA,idhā,1662,10,when,24,اِذَاۤ,18,Time adverb,
إِذَا,<i*aA,idhā,1662,10,So when,47,فَاِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,10,When,49,اِذَا,15,Time adverb,
إِذَا,<i*aA,idhā,1662,10,when,51,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,10,when,90,اِذَاۤ,11,Time adverb,
إِذَا,<i*aA,idhā,1662,11,when,40,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,11,when,102,اِذَاۤ,4,Time adverb,
إِذَا,<i*aA,idhā,1662,12,when,62,اِذَا,9,Time adverb,
إِذَا,<i*aA,idhā,1662,12,when,110,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,13,When,5,ءَاِذَا,5,Time adverb,
إِذَا,<i*aA,idhā,1662,13,And when,11,وَاِذَاۤ,22,Time adverb,
إِذَا,<i*aA,idhā,1662,15,So, when,29,فَاِذَا,1,Time adverb
إِذَا,<i*aA,idhā,1662,16,then behold,4,فَاِذَا,5,Time adverb,
إِذَا,<i*aA,idhā,1662,16,And when,24,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,16,when,40,اِذَاۤ,4,Time adverb,
إِذَا,<i*aA,idhā,1662,16,when,53,اِذَا,8,Time adverb,
إِذَا,<i*aA,idhā,1662,16,when,54,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,16,behold,54,اِذَا,6,Time adverb,
إِذَا,<i*aA,idhā,1662,16,And when,58,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,16,Then when,61,فَاِذَا,16,Time adverb,
إِذَا,<i*aA,idhā,1662,16,And when,85,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,16,And when,86,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,16,when,91,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,16,So when,98,فَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,16,And when,101,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,17,So when,5,فَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,17,So when,7,فَاِذَا,8,Time adverb,
إِذَا,<i*aA,idhā,1662,17,And when,16,وَاِذَاۤ,1,Time adverb,
إِذَا,<i*aA,idhā,1662,17,when,35,اِذَا,3,Time adverb,
إِذَا,<i*aA,idhā,1662,17,And when,45,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,17,And when,46,وَاِذَا,10,Time adverb,
إِذَا,<i*aA,idhā,1662,17,Is it when,49,ءَاِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,17,And when,67,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,17,And when,83,وَاِذَاۤ,1,Time adverb,
إِذَا,<i*aA,idhā,1662,17,And when,83,وَاِذَا,8,Time adverb,
إِذَا,<i*aA,idhā,1662,17,When,98,ءَاِذَا,7,Time adverb,
إِذَا,<i*aA,idhā,1662,17,then when,104,فَاِذَا,8,Time adverb,
إِذَا,<i*aA,idhā,1662,17,when,107,اِذَا,13,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,17,اِذَا,3,Time adverb,
إِذَا,<i*aA,idhā,1662,18,and when,17,وَاِذَا,10,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,24,اِذَا,7,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,71,اِذَا,3,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,74,اِذَا,3,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,77,اِذَاۤ,3,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,86,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,90,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,93,اِذَا,2,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,96,اِذَا,5,Time adverb,
إِذَا,<i*aA,idhā,1662,18,when,96,اِذَا,12,Time adverb,
إِذَا,<i*aA,idhā,1662,18,But when,98,فَاِذَا,6,Time adverb,
إِذَا,<i*aA,idhā,1662,19,When,35,اِذَا,9,Time adverb,
إِذَا,<i*aA,idhā,1662,19,When,58,اِذَا,22,Time adverb,
إِذَا,<i*aA,idhā,1662,19,What! When,66,ءَاِذَا,3,Time adverb,
إِذَا,<i*aA,idhā,1662,19,And when,73,وَاِذَا,1,Time adverb,
إِذَا,<i*aA,idhā,1662,19,when,75,اِذَا,11,Time adverb,
إِذَا,<i*aA,idhā,1662,21,behold,12,اِذَا,4,Time adverb,
إِذَا,<i*aA,idhā,1662,21,behold,18,فَاِذَا,7,Time adverb,
