Arabic Root Word,ChapterNo,VerseNo,Actual Arabic Word,
ف س د,2,12,الۡمُفۡسِدُوۡنَ,
إِذَا,2,13,وَاِذَا,
س ف ه,2,13,السُّفَهَآءُ‌ ؕ,
س ف ه,2,13,السُّفَهَآءُ,
ع ل م,2,13,يَعۡلَمُوۡنَ‏,
ق و ل,2,13,قِيۡلَ,
ق و ل,2,13,قَالُوۡٓا,
ن و س,2,13,النَّاسُ,
ٱلَّذِى,2,14,الَّذِيۡنَ,
إِذَا,2,14,وَاِذَا,
إِذَا,2,14,وَاِذَا,
إِلَىٰ,2,14,اِلٰى,
خ ل و,2,14,خَلَوۡا,
ش ط ن,2,14,شَيٰطِيۡنِهِمۡۙ,
ق و ل,2,14,قَالُوۡآ,
ق و ل,2,14,قَالُوۡآ,
ل ق ي,2,14,لَقُوۡا,
ه ز ا,2,14,مُسۡتَهۡزِءُوۡنَ‏,
ا ل ه,2,15,اَللّٰهُ,
ط غ ي,2,15,طُغۡيَانِهِمۡ,
ع م ه,2,15,يَعۡمَهُوۡنَ‏,
م د د,2,15,وَيَمُدُّهُمۡ,
ه ز ا,2,15,يَسۡتَهۡزِئُ,
ٱلَّذِى,2,16,الَّذِيۡنَ,
ت ج ر,2,16,تِّجَارَتُهُمۡ,
ر ب ح,2,16,رَبِحَتۡ,
ش ر ي,2,16,اشۡتَرَوُا,
ك و ن,2,16,كَانُوۡا,
ه د ي,2,16,مُهۡتَدِيۡنَ‏,
ه د ي,2,16,بِالۡهُدٰى,
ٱلَّذِى,2,17,الَّذِىۡ,
ا ل ه,2,17,اللّٰهُ,
ب ص ر,2,17,يُبۡصِرُوۡنَ‏,
ت ر ك,2,17,وَتَرَكَهُمۡ,
ح و ل,2,17,حَوۡلَهٗ,
ذ ه ب,2,17,ذَهَبَ,
ظ ل م,2,17,ظُلُمٰتٍ,
م ث ل,2,17,مَثَلُهُمۡ,
م ث ل,2,17,كَمَثَلِ,
ن و ر,2,17,نَارًا‌ۚ,
ن و ر,2,17,بِنُوۡرِهِمۡ,
و ق د,2,17,اسۡتَوۡقَدَ,
ب ك م,2,18,بُكۡمٌ,
ر ج ع,2,18,يَرۡجِعُوۡنَ ۙ‏,
ص م م,2,18,صُمٌّۢ,
ع م ي,2,18,عُمۡىٌ,
ا ذ ن,2,19,اٰذَانِهِمۡ,
ا ل ه,2,19,وَاللّٰهُ,
ب ر ق,2,19,وَّبَرۡقٌ‌ ۚ,
ج ع ل,2,19,يَجۡعَلُوۡنَ,
ح ذ ر,2,19,حَذَرَ,
ح و ط,2,19,مُحِيۡطٌ‌ۢ,
ر ع د,2,19,وَّرَعۡدٌ,
س م و,2,19,السَّمَآءِ,
ص ب ع,2,19,اَصَابِعَهُمۡ,
ص ع ق,2,19,الصَّوَاعِقِ,
ص و ب,2,19,كَصَيِّبٍ,
ظ ل م,2,19,ظُلُمٰتٌ,
ك ف ر,2,19,بِالۡكٰفِرِيۡنَ‏,
م و ت,2,19,الۡمَوۡتِ‌ؕ,
 ا,2,20,اَضَآءَ,
ا ل ه,2,20,اللّٰهُ,
ا ل ه,2,20,اللّٰهَ,
إِذَا,2,20,وَاِذَآ,
ب ر ق,2,20,الۡبَرۡقُ,
ب ص ر,2,20,اَبۡصَارَهُمۡ‌ؕ,
ب ص ر,2,20,وَاَبۡصَارِهِمۡ‌ؕ,
خ ط ف,2,20,يَخۡطَفُ,
ذ ه ب,2,20,لَذَهَبَ,
س م ع,2,20,بِسَمۡعِهِمۡ,
ش ي ا,2,20,شَآءَ,
ش ي ا,2,20,شَىۡءٍ,
ظ ل م,2,20,اَظۡلَمَ,
ق د ر,2,20,قَدِيۡرٌ‏,
ق و م,2,20,قَامُوۡا‌ؕ,
ك ل ل,2,20,كُلِّ,
ك ل ل,2,20,كُلَّمَآ,
ك و د,2,20,يَكَادُ,
م ش ي,2,20,مَّشَوۡا,
ٱلَّذِى,2,21,وَالَّذِيۡنَ,
ٱلَّذِى,2,21,الَّذِىۡ,
خ ل ق,2,21,خَلَقَكُمۡ,
ر ب ب,2,21,رَبَّكُمُ,
ع ب د,2,21,اعۡبُدُوۡا,
ق ب ل,2,21,قَبۡلِكُمۡ,
ن و س,2,21,النَّاسُ,
و ق ي,2,21,تَتَّقُوۡنَ ۙ‏,
ٱلَّذِى,2,22,الَّذِىۡ,
ا ر ض,2,22,الۡاَرۡضَ,
ا ل ه,2,22,لِلّٰهِ,
ب ن ي,2,22,بِنَآءً,
ث م ر,2,22,الثَّمَرٰتِ,
ج ع ل,2,22,جَعَلَ,
ج ع ل,2,22,تَجۡعَلُوۡا,
خ ر ج,2,22,فَاَخۡرَجَ,
ر ز ق,2,22,رِزۡقًا,
س م و,2,22,وَّالسَّمَآءَ,
س م و,2,22,السَّمَآءِ,
ع ل م,2,22,تَعۡلَمُوۡنَ‏,
ف ر ش,2,22,فِرَاشًا,
م و ه,2,22,مَآءً,
ن د د,2,22,اَنۡدَادًا,
ن ز ل,2,22,وَّاَنۡزَلَ,
ا ت ي,2,23,فَاۡتُوۡا,
ا ل ه,2,23,اللّٰهِ,
د ع و,2,23,وَادۡعُوۡا,
د و ن,2,23,دُوۡنِ,
ر ي ب,2,23,رَيۡبٍ,
س و ر,2,23,بِسُوۡرَةٍ,
ش ه د,2,23,شُهَدَآءَكُمۡ,
ص د ق,2,23,صٰدِقِيۡنَ‏,
ع ب د,2,23,عَبۡدِنَا,
ك و ن,2,23,کُنۡتُمۡ,
ك و ن,2,23,كُنۡتُمۡ,
م ث ل,2,23,مِّثۡلِهٖ,
ن ز ل,2,23,نَزَّلۡنَا,
ٱلَّذِى,2,24,الَّتِىۡ,
ح ج ر,2,24,وَالۡحِجَارَةُ  ۖۚ,
ع د د,2,24,اُعِدَّتۡ,
ف ع ل,2,24,تَفۡعَلُوۡا,
ف ع ل,2,24,تَفۡعَلُوۡا,
ك ف ر,2,24,لِلۡكٰفِرِيۡنَ‏,
ن و ر,2,24,النَّارَ,
ن و س,2,24,النَّاسُ,
و ق د,2,24,وَقُوۡدُهَا,
و ق ي,2,24,فَاتَّقُوۡا,
ٱلَّذِى,2,25,الَّذِيۡنَ,
ٱلَّذِى,2,25,الَّذِىۡ,
ا ت ي,2,25,وَاُتُوۡا,
ب ش ر,2,25,وَبَشِّرِ,
ت ح ت,2,25,تَحۡتِهَا,
ث م ر,2,25,ثَمَرَةٍ,
ج ر ي,2,25,تَجۡرِىۡ,
ج ن ن,2,25,جَنّٰتٍ,
خ ل د,2,25,خٰلِدُوۡنَ‏,
ر ز ق,2,25,رُزِقُوۡا,
ر ز ق,2,25,رُزِقۡنَا,
ر ز ق,2,25,رِّزۡقًا‌ۙ,
ز و ج,2,25,اَزۡوَاجٌ,
ش ب ه,2,25,مُتَشَابِهًا‌ؕ,
ص ل ح,2,25,الصّٰلِحٰتِ,
ط ه ر,2,25,مُّطَهَّرَةٌ ‌ۙ,
ع م ل,2,25,وَعَمِلُوا,
ق ب ل,2,25,قَبۡلُ,
ق و ل,2,25,قَالُوۡا,
ك ل ل,2,25,ڪُلَّمَا,
ن ه ر,2,25,الۡاَنۡهٰرُ‌ؕ,
ٱلَّذِى,2,26,‌الَّذِيۡنَ,
ٱلَّذِى,2,26,الَّذِيۡنَ,
ا ل ه,2,26,اللّٰهَ,
ا ل ه,2,26,اللّٰهُ,
إِلَّا,2,26,اِلَّا,
أَمَّا,2,26,فَاَمَّا,
أَمَّا,2,26,وَاَمَّا,
ب ع ض,2,26,‌بَعُوۡضَةً,
ح ق ق,2,26,الۡحَـقُّ,
ح ي ي,2,26,يَسۡتَحۡىٖۤ,
ر ب ب,2,26,رَّبِّهِمۡ‌ۚ,
ر و د,2,26,اَرَادَ,
ع ل م,2,26,فَيَعۡلَمُوۡنَ,
ف س ق,2,26,الۡفٰسِقِيۡنَۙ‏,
ف و ق,2,26,فَوۡقَهَا‌ؕ,
ق و ل,2,26,فَيَقُوۡلُوۡنَ,
ك ث ر,2,26,ڪَثِيۡرًا,
ك ث ر,2,26,كَثِيۡرًا‌ؕ,
ك ف ر,2,26,ڪَفَرُوۡا,
م ث ل,2,26,مَثَلاً,
م ث ل,2,26,مَثَلًا ۘ,
ه د ي,2,26,وَّيَهۡدِىۡ,
ٱلَّذِى,2,27,الَّذِيۡنَ,
ا ر ض,2,27,الۡاَرۡضِ‌ؕ,
ا ل ه,2,27,اللّٰهِ,
ا ل ه,2,27,اللّٰهُ,
ب ع د,2,27,بَعۡدِ,
خ س ر,2,27,الۡخٰسِرُوۡنَ‏,
ع ه د,2,27,عَهۡدَ,
ف س د,2,27,وَيُفۡسِدُوۡنَ,
ق ط ع,2,27,وَيَقۡطَعُوۡنَ,
ن ق ض,2,27,يَنۡقُضُوۡنَ,
و ث ق,2,27,مِيۡثَاقِهٖ,
و ص ل,2,27,يُّوۡصَلَ,
ا ل ه,2,28,بِاللّٰهِ,
إِلَىٰ,2,28,اِلَيۡهِ,
ح ي ي,2,28,فَاَحۡيَاکُمۡ‌ۚ,
ح ي ي,2,28,يُحۡيِيۡكُمۡ,
ر ج ع,2,28,تُرۡجَعُوۡنَ‏,
ك ف ر,2,28,تَكۡفُرُوۡنَ,
ك و ن,2,28,وَڪُنۡتُمۡ,
ك ي ف,2,28,كَيۡفَ,
م و ت,2,28,يُمِيۡتُكُمۡ,
م و ت,2,28,اَمۡوَاتًا,
ٱلَّذِى,2,29,الَّذِىۡ,
ا ر ض,2,29,الۡاَرۡضِ,
إِلَىٰ,2,29,اِلَى,
ج م ع,2,29,جَمِيۡعًا,
خ ل ق,2,29,خَلَقَ,
س ب ع,2,29,سَبۡعَ,
س م و,2,29,السَّمَآءِ,
س م و,2,29,سَمٰوٰتٍ‌ؕ,
س و ي,2,29,اسۡتَوٰۤى,
س و ي,2,29,فَسَوّٰٮهُنَّ,
ش ي ا,2,29,شَىۡءٍ,
ع ل م,2,29,عَلِيۡمٌ‏,
ك ل ل,2,29,بِكُلِّ,
ا ر ض,2,30,الۡاَرۡضِ,
إِذ,2,30,وَاِذۡ,
ج ع ل,2,30,جَاعِلٌ,
ج ع ل,2,30,اَتَجۡعَلُ,
ح م د,2,30,بِحَمۡدِكَ,
خ ل ف,2,30,خَلِيۡفَةً ‌ؕ,
د م و,2,30,الدِّمَآءَۚ,
ر ب ب,2,30,رَبُّكَ,
س ب ح,2,30,نُسَبِّحُ,
س ف ك,2,30,وَيَسۡفِكُ,
ع ل م,2,30,اَعۡلَمُ,
ع ل م,2,30,تَعۡلَمُوۡنَ‏,
ف س د,2,30,يُّفۡسِدُ,
ق د س,2,30,وَنُقَدِّسُ,
ق و ل,2,30,قَالَ,
ق و ل,2,30,قَالُوۡٓا,
ق و ل,2,30,قَالَ,
م ل ك,2,30,لِلۡمَلٰٓٮِٕكَةِ,
آدَم,2,31,اٰدَمَ,
س م و,2,31,الۡاَسۡمَآءَ,
س م و,2,31,بِاَسۡمَآءِ,
ص د ق,2,31,صٰدِقِيۡنَ‏,
ع ر ض,2,31,عَرَضَهُمۡ,
ع ل م,2,31,وَعَلَّمَ,
ق و ل,2,31,فَقَالَ,
ك ل ل,2,31,كُلَّهَا,
ك و ن,2,31,كُنۡتُمۡ,
م ل ك,2,31,الۡمَلٰٓٮِٕكَةِ,
ن ب ا,2,31,اَنۡۢبِــُٔوۡنِىۡ,
إِلَّا,2,32,اِلَّا,
ح ك م,2,32,الۡحَكِيۡمُ‏,
س ب ح,2,32,سُبۡحٰنَكَ,
ع ل م,2,32,عَلَّمۡتَنَاؕ,
ع ل م,2,32,عِلۡمَ,
ع ل م,2,32,الۡعَلِيۡمُ,
ق و ل,2,32,قَالُوۡا,
آدَم,2,33,يٰٓـاٰدَمُ,
ا ر ض,2,33,وَالۡاَرۡضِۙ,
ب د و,2,33,تُبۡدُوۡنَ,
س م و,2,33,بِاَسۡمَآٮِٕهِمۡ‌ۚ,
س م و,2,33,بِاَسۡمَآٮِٕهِمۡۙ,
س م و,2,33,السَّمٰوٰتِ,
ع ل م,2,33,اَعۡلَمُ,
ع ل م,2,33,وَاَعۡلَمُ,
غ ي ب,2,33,غَيۡبَ,
ق و ل,2,33,قَالَ,
ق و ل,2,33,قَالَ,
ق و ل,2,33,اَقُل,
ك ت م,2,33,تَكۡتُمُوۡنَ‏,
ك و ن,2,33,كُنۡتُمۡ,
ن ب ا,2,33,اَنۡۢبِئۡهُمۡ,
ن ب ا,2,33,اَنۡۢبَاَهُمۡ,
آدَم,2,34,لِاٰدَمَ,
ا ب ي,2,34,اَبٰى,
إِبْلِيس,2,34,اِبۡلِيۡسَۙ,
إِذ,2,34,وَاِذۡ,
إِلَّا,2,34,اِلَّاۤ,
س ج د,2,34,اسۡجُدُوۡا,
س ج د,2,34,فَسَجَدُوۡٓا,
ق و ل,2,34,قُلۡنَا,
ك ب ر,2,34,وَاسۡتَكۡبَرَ,
ك ف ر,2,34,الۡكٰفِرِيۡنَ‏,
ك و ن,2,34,وَكَانَ,
م ل ك,2,34,لِلۡمَلٰٓٮِٕكَةِ,
آدَم,2,35,يٰٓـاٰدَمُ,
ا ك ل,2,35,وَكُلَا,
ج ن ن,2,35,الۡجَـنَّةَ,
ح ي ث,2,35,حَيۡثُ,
ر غ د,2,35,رَغَدًا,
ز و ج,2,35,وَزَوۡجُكَ,
س ك ن,2,35,اسۡكُنۡ,
ش ج ر,2,35,الشَّجَرَةَ,
ش ي ا,2,35,شِئۡتُمَا,
ظ ل م,2,35,الظّٰلِمِيۡنَ‏,
ق ر ب,2,35,تَقۡرَبَا,
ق و ل,2,35,وَقُلۡنَا,
ك و ن,2,35,فَتَكُوۡنَا,
ا ر ض,2,36,الۡاَرۡضِ,
إِلَىٰ,2,36,اِلٰى,
ب ع ض,2,36,بَعۡضُكُمۡ,
ب ع ض,2,36,لِبَعۡضٍ,
ح ي ن,2,36,حِيۡنٍ‏,
خ ر ج,2,36,فَاَخۡرَجَهُمَا,
ز ل ل,2,36,فَاَزَلَّهُمَا,
ش ط ن,2,36,الشَّيۡطٰنُ,
ع د و,2,36,عَدُوٌّ ‌ۚ,
ق ر ر,2,36,مُسۡتَقَرٌّ,
ق و ل,2,36,وَقُلۡنَا,
ك و ن,2,36,كَانَا,
م ت ع,2,36,وَّمَتَاعٌ,
ه ب ط,2,36,اهۡبِطُوۡا,
آدَم,2,37,اٰدَمُ,
ت و ب,2,37,فَتَابَ,
ت و ب,2,37,التَّوَّابُ,
ر ب ب,2,37,رَّبِّهٖ,
ر ح م,2,37,الرَّحِيۡمُ‏,
ك ل م,2,37,كَلِمَاتٍ,
ل ق ي,2,37,فَتَلَقّٰٓى,
ا ت ي,2,38,يَاۡتِيَنَّكُمۡ,
إِمَّا,2,38,فَاِمَّا,
ت ب ع,2,38,تَبِعَ,
ج م ع,2,38,جَمِيۡعًا‌‌ۚ,
ح ز ن,2,38,يَحۡزَنُوۡنَ‏,
خ و ف,2,38,خَوۡفٌ,
ق و ل,2,38,قُلۡنَا,
ه ب ط,2,38,اهۡبِطُوۡا,
ه د ي,2,38,هُدًى,
ه د ي,2,38,هُدَاىَ,
ٱلَّذِى,2,39,وَالَّذِيۡنَ,
ا ي ي,2,39,بِـاٰيٰتِنَآ,
خ ل د,2,39,خٰلِدُوۡنَ‏,
ص ح ب,2,39,اَصۡحٰبُ,
ك ذ ب,2,39,وَكَذَّبُوۡا,
ك ف ر,2,39,كَفَرُوۡا,
ن و ر,2,39,النَّارِ‌‌ۚ,
ٱلَّذِى,2,40,الَّتِىۡٓ,
إِسْرَائِيل,2,40,اِسۡرَآءِيۡلَ,
ب ن ي,2,40,يٰبَنِىۡٓ,
ذ ك ر,2,40,اذۡكُرُوۡا,
ر ه ب,2,40,فَارۡهَبُوۡنِ‏,
ع ه د,2,40,بِعَهۡدِىۡٓ,
ع ه د,2,40,بِعَهۡدِكُمۡۚ,
ن ع م,2,40,اَنۡعَمۡتُ,
ن ع م,2,40,نِعۡمَتِىَ,
و ف ي,2,40,وَاَوۡفُوۡا,
و ف ي,2,40,اُوۡفِ,
ا و ل,2,41,اَوَّلَ,
ا ي ي,2,41,بِاٰيٰتِىۡ,
ث م ن,2,41,ثَمَنًا,
ش ر ي,2,41,تَشۡتَرُوۡا,
ص د ق,2,41,مُصَدِّقًا,
ق ل ل,2,41,قَلِيۡلًا,
ك ف ر,2,41,كَافِرٍۢ,
ك و ن,2,41,تَكُوۡنُوۡآ,
ن ز ل,2,41,اَنۡزَلۡتُ,
و ق ي,2,41,فَاتَّقُوۡنِ‏,
ب ط ل,2,42,بِالۡبَاطِلِ,
ح ق ق,2,42,الۡحَـقَّ,
ح ق ق,2,42,الۡحَـقَّ,
ع ل م,2,42,تَعۡلَمُوۡنَ‏,
ك ت م,2,42,وَتَكۡتُمُوۡا,
ل ب س,2,42,تَلۡبِسُوۡا,
ر ك ع,2,43,الرّٰكِعِيۡنَ‏,
ر ك ع,2,43,وَارۡكَعُوۡا,
ز ك و,2,43,الزَّكٰوةَ,
ص ل و,2,43,الصَّلٰوةَ,
ق و م,2,43,وَاَقِيۡمُوۡا,
ب ر ر,2,44,بِالۡبِرِّ,
ت ل و,2,44,تَتۡلُوۡنَ,
ع ق ل,2,44,تَعۡقِلُوۡنَ‏,
ك ت ب,2,44,الۡكِتٰبَ‌ؕ,
ن س ي,2,44,وَتَنۡسَوۡنَ,
ن ف س,2,44,اَنۡفُسَكُمۡ,
ن و س,2,44,النَّاسَ,
إِلَّا,2,45,اِلَّا,
خ ش ع,2,45,الۡخٰشِعِيۡنَۙ‏,
ص ب ر,2,45,بِالصَّبۡرِ,
ص ل و,2,45,وَالصَّلٰوةِ‌ؕ,
ع و ن,2,45,وَاسۡتَعِيۡنُوۡا,
ك ب ر,2,45,لَكَبِيۡرَةٌ,
ٱلَّذِى,2,46,الَّذِيۡنَ,
إِلَىٰ,2,46,اِلَيۡهِ,
ر ب ب,2,46,رَبِّهِمۡ,
ر ج ع,2,46,رٰجِعُوۡنَ‏,
ظ ن ن,2,46,يَظُنُّوۡنَ,
ل ق ي,2,46,مُّلٰقُوۡا,
ٱلَّذِى,2,47,الَّتِىۡٓ,
إِسْرَائِيل,2,47,اِسۡرَآءِيۡلَ,
ب ن ي,2,47,يٰبَنِىۡٓ,
ذ ك ر,2,47,اذۡكُرُوۡا,
ع ل م,2,47,الۡعٰلَمِيۡنَ‏,
ف ض ل,2,47,فَضَّلۡتُكُمۡ,
ن ع م,2,47,اَنۡعَمۡتُ,
ن ع م,2,47,نِعۡمَتِىَ,
ا خ ذ,2,48,يُؤۡخَذُ,
ج ز ي,2,48,تَجۡزِىۡ,
ش ف ع,2,48,شَفَاعَةٌ,
ش ي ا,2,48,شَيۡـًٔـا,
ع د ل,2,48,عَدۡلٌ,
ق ب ل,2,48,يُقۡبَلُ,
ن ص ر,2,48,يُنۡصَرُوۡنَ‏,
ن ف س,2,48,نَفۡسٌ,
ن ف س,2,48,نَّفۡسٍ,
و ق ي,2,48,وَاتَّقُوۡا,
ي و م,2,48,يَوۡمًا,
ا و ل,2,49,اٰلِ,
إِذ,2,49,وَاِذۡ,
ب ل و,2,49,بَلَاۤءٌ,
ب ن ي,2,49,اَبۡنَآءَكُمۡ,
ح ي ي,2,49,وَيَسۡتَحۡيُوۡنَ,
ذ ب ح,2,49,يُذَبِّحُوۡنَ,
ر ب ب,2,49,رَّبِّكُمۡ,
س و ا,2,49,سُوۡٓءَ,
س و م,2,49,يَسُوۡمُوۡنَكُمۡ,
ع ذ ب,2,49,الۡعَذَابِ,
ع ظ م,2,49,عَظِيۡمٌ‏,
ن ج و,2,49,نَجَّيۡنٰکُمۡ,
ن س و,2,49,نِسَآءَكُمۡ‌ؕ,
ا و ل,2,50,اٰلَ,
إِذ,2,50,وَاِذۡ,
ب ح ر,2,50,الۡبَحۡرَ,
غ ر ق,2,50,وَاَغۡرَقۡنَآ,
ف ر ق,2,50,فَرَقۡنَا,
ن ج و,2,50,فَاَنۡجَيۡنٰکُمۡ,
ن ظ ر,2,50,تَنۡظُرُوۡنَ‏,
ا خ ذ,2,51,اتَّخَذۡتُمُ,
إِذ,2,51,وَاِذۡ,
ب ع د,2,51,بَعۡدِهٖ,
ر ب ع,2,51,اَرۡبَعِيۡنَ,
ظ ل م,2,51,ظٰلِمُوۡنَ‏,
ع ج ل,2,51,الۡعِجۡلَ,
ل ي ل,2,51,لَيۡلَةً,
و ع د,2,51,وٰعَدۡنَا,
ب ع د,2,52,بَعۡدِ,
ش ك ر,2,52,تَشۡكُرُوۡنَ‏,
ع ف و,2,52,عَفَوۡنَا,
إِذ,2,53,وَاِذۡ,
ف ر ق,2,53,وَالۡفُرۡقَانَ,
ك ت ب,2,53,الۡكِتٰبَ,
ه د ي,2,53,تَهۡتَدُوۡنَ‏,
ا خ ذ,2,54,بِاتِّخَاذِكُمُ,
إِذ,2,54,وَاِذۡ,
إِلَىٰ,2,54,اِلٰى,
ب ر ا,2,54,بَارِٮِٕكُمۡ,
ب ر ا,2,54,بَارِٮِٕكُمۡؕ,
ت و ب,2,54,فَتُوۡبُوۡآ,
ت و ب,2,54,فَتَابَ,
ت و ب,2,54,التَّوَّابُ,
خ ي ر,2,54,خَيۡرٌ,
ر ح م,2,54,الرَّحِيۡمُ‏,
ظ ل م,2,54,ظَلَمۡتُمۡ,
ع ج ل,2,54,الۡعِجۡلَ,
ع ن د,2,54,عِنۡدَ,
ق ت ل,2,54,فَاقۡتُلُوۡٓا,
ق و ل,2,54,قَالَ,
ق و م,2,54,لِقَوۡمِهٖ,
ق و م,2,54,يٰقَوۡمِ,
ن ف س,2,54,اَنۡفُسَکُمۡ,
ن ف س,2,54,اَنۡفُسَكُمۡؕ,
ا خ ذ,2,55,فَاَخَذَتۡكُمُ,
ا ل ه,2,55,اللّٰهَ,
إِذ,2,55,وَاِذۡ,
ج ه ر,2,55,جَهۡرَةً,
ر ا ي,2,55,نَرَى,
ص ع ق,2,55,الصّٰعِقَةُ,
ق و ل,2,55,قُلۡتُمۡ,
ن ظ ر,2,55,تَنۡظُرُوۡنَ‏,
ب ع ث,2,56,بَعَثۡنٰكُمۡ,
ب ع د,2,56,بَعۡدِ,
ش ك ر,2,56,تَشۡكُرُوۡنَ‏,
م و ت,2,56,مَوۡتِكُمۡ,
ا ك ل,2,57,كُلُوۡا,
ر ز ق,2,57,رَزَقۡنٰكُمۡ‌ؕ,
س ل و,2,57,وَالسَّلۡوٰى‌ؕ,
ط ي ب,2,57,طَيِّبٰتِ,
ظ ل ل,2,57,وَظَلَّلۡنَا,
ظ ل م,2,57,ظَلَمُوۡنَا,
ظ ل م,2,57,يَظۡلِمُوۡنَ‏,
غ م م,2,57,الۡغَمَامَ,
ك و ن,2,57,كَانُوۡآ,
م ن ن,2,57,الۡمَنَّ,
ن ز ل,2,57,وَاَنۡزَلۡنَا,
ن ف س,2,57,اَنۡفُسَهُمۡ,
ا ك ل,2,58,فَکُلُوۡا,
إِذ,2,58,وَاِذۡ,
ب و ب,2,58,الۡبَابَ,
ح س ن,2,58,الۡمُحۡسِنِيۡنَ‏,
ح ط ط,2,58,حِطَّةٌ,
ح ي ث,2,58,حَيۡثُ,
خ ط ا,2,58,خَطٰيٰكُمۡ‌ؕ,
د خ ل,2,58,ادۡخُلُوۡا,
د خ ل,2,58,وَّادۡخُلُوۡا,
ر غ د,2,58,رَغَدًا,
ز ي د,2,58,وَسَنَزِيۡدُ,
